"tax","csp","age","sex","ss","income","race","marital","educ"
"(1-33333]","0","(30-45]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","1","34"
"0","0","(15-30]","1","0","(1-153749.2]","1","7","37"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","43"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","4","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","6","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","37"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","6","34"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","44"
"0","0","(15-30]","1","0","(1-153749.2]","1","1","41"
"(1-33333]","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","4","36"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","41"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","5","39"
"0","0","(15-30]","2","0","(1-153749.2]","2","1","39"
"0","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","4","35"
"0","0","(15-30]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","4","1","45"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","4","39"
"(1-33333]","0","(60-75]","2","0","(1-153749.2]","1","1","42"
"(1-33333]","0","(60-75]","2","0","(1-153749.2]","4","4","44"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","5","39"
"(1-33333]","0","(60-75]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","33"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","1","2","43"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","4","40"
"0","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","1","40"
"0","0","(15-30]","1","0","(1-153749.2]","1","6","39"
"0","0","(15-30]","1","0","(153749.2-307497.4]","1","1","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","7","40"
"0","0","(30-45]","1","0","(1-153749.2]","2","6","44"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","42"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","43"
"0","0","(15-30]","1","0","(153749.2-307497.4]","1","7","43"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","5","32"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","5","40"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"(1-33333]","0","(60-75]","1","0","(1-153749.2]","3","1","40"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","39"
"0","0","(30-45]","2","0","(1-153749.2]","1","1","32"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","45"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","33"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"0","0","(15-30]","1","0","(1-153749.2]","1","1","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","39"
"0","0","(45-60]","1","0","(1-153749.2]","1","5","43"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","4","37"
"(1-33333]","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","4","40"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","41"
"(1-33333]","0","(45-60]","1","0","(153749.2-307497.4]","1","1","43"
"0","0","(45-60]","2","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","4","43"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","39"
"0","0","(15-30]","1","0","(1-153749.2]","1","7","36"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","7","42"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"0","0","(30-45]","2","0","(1-153749.2]","1","1","39"
"0","0","(30-45]","1","0","(1-153749.2]","2","1","43"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","6","44"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","41"
"0","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","4","31"
"0","0","(45-60]","1","0","(1-153749.2]","1","5","40"
"0","0","(45-60]","1","0","(1-153749.2]","1","7","36"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","1","43"
"0","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","4","45"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","(1-23917]","(30-45]","2","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","5","40"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","39"
"0","0","(15-30]","2","0","(1-153749.2]","2","7","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"0","(1-23917]","(30-45]","2","0","(1-153749.2]","4","5","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","4","5","40"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","5","40"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","1","7","39"
"0","0","(15-30]","1","0","(1-153749.2]","4","1","36"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","4","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"0","0","(30-45]","2","0","(1-153749.2]","1","4","39"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","1","7","37"
"0","0","(15-30]","2","0","(1-153749.2]","1","1","39"
"0","0","(30-45]","2","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","43"
"0","0","(45-60]","1","0","(1-153749.2]","1","3","39"
"(1-33333]","0","(60-75]","1","0","(1-153749.2]","1","5","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","2","7","40"
"(1-33333]","0","(60-75]","1","0","(1-153749.2]","1","1","32"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","2","7","46"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","4","40"
"0","(1-23917]","(30-45]","2","0","(153749.2-307497.4]","1","1","39"
"0","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","5","43"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"0","0","(45-60]","1","0","(1-153749.2]","1","1","45"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","7","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","43"
"0","0","(15-30]","2","0","(1-153749.2]","1","1","41"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","6","43"
"0","0","(30-45]","2","0","(1-153749.2]","1","6","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","7","43"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","1","1","33"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","41"
"(1-33333]","0","(30-45]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","1","44"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","5","34"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","7","34"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","40"
"0","0","(45-60]","1","0","(1-153749.2]","1","7","40"
"0","0","(30-45]","2","0","(1-153749.2]","1","1","44"
"0","0","(30-45]","2","0","(1-153749.2]","2","7","37"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","5","34"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(153749.2-307497.4]","1","5","46"
"(1-33333]","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","4","39"
"0","0","(45-60]","2","0","(1-153749.2]","1","1","39"
"0","0","(15-30]","2","0","(1-153749.2]","1","5","40"
"0","0","(75-90]","2","(33335.6666666667-50000]","(1-153749.2]","1","4","34"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","2","1","39"
"(1-33333]","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","5","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","5","39"
"0","0","(30-45]","2","0","(1-153749.2]","2","7","41"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","43"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","2","1","40"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","1","7","36"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","5","43"
"0","0","(30-45]","2","0","(1-153749.2]","1","4","43"
"(1-33333]","0","(15-30]","2","0","(153749.2-307497.4]","3","1","40"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","41"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","40"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","43"
"0","0","(60-75]","2","0","(1-153749.2]","2","4","34"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","5","39"
"(1-33333]","0","(60-75]","1","0","(1-153749.2]","1","1","31"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","46"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","37"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","5","43"
"0","0","(30-45]","1","0","(1-153749.2]","1","5","37"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","5","43"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","3","45"
"0","0","(30-45]","2","0","(1-153749.2]","2","5","40"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","4","1","40"
"0","0","(45-60]","2","0","(1-153749.2]","1","4","41"
"0","0","(15-30]","1","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","4","1","37"
"(1-33333]","(1-23917]","(30-45]","2","0","(1-153749.2]","1","5","40"
"(1-33333]","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","2","4","46"
"(1-33333]","0","(30-45]","1","0","(307497.4-461245.6]","1","1","45"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"0","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","5","33"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","7","37"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","43"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","7","43"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","1","0","(153749.2-307497.4]","1","1","40"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","44"
"0","0","(45-60]","1","0","(1-153749.2]","1","6","40"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(60-75]","1","0","(1-153749.2]","2","5","43"
"0","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","7","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","3","1","42"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","1","0","(153749.2-307497.4]","1","6","43"
"(1-33333]","(1-23917]","(15-30]","2","0","(1-153749.2]","1","5","40"
"0","0","(45-60]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","3","1","43"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","44"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","3","33"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","2","1","31"
"(1-33333]","(1-23917]","(30-45]","2","0","(1-153749.2]","1","5","37"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","1","35"
"0","0","(45-60]","1","0","(1-153749.2]","1","5","40"
"(1-33333]","0","(30-45]","2","(7-16671.3333333333]","(1-153749.2]","1","1","43"
"0","0","(60-75]","1","(7-16671.3333333333]","(153749.2-307497.4]","1","1","39"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","42"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","44"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","1","45"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","1","33"
"(1-33333]","(1-23917]","(30-45]","2","0","(1-153749.2]","1","1","35"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","7","40"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","1","7","43"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","2","1","40"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","5","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","1","1","42"
"0","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","4","33"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","(1-23917]","(30-45]","1","0","(1-153749.2]","1","1","35"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","1","0","(153749.2-307497.4]","1","1","44"
"0","0","(45-60]","2","0","(1-153749.2]","1","4","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","5","46"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","2","7","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","5","43"
"0","0","(15-30]","1","0","(1-153749.2]","4","7","40"
"0","0","(30-45]","2","0","(1-153749.2]","2","6","39"
"0","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","7","34"
"0","0","(45-60]","1","0","(1-153749.2]","1","1","44"
"(1-33333]","0","(45-60]","1","(7-16671.3333333333]","(1-153749.2]","1","1","43"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","7","40"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","43"
"0","0","(30-45]","2","0","(1-153749.2]","3","5","40"
"(1-33333]","0","(45-60]","1","0","(153749.2-307497.4]","1","1","46"
"0","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","43"
"0","0","(45-60]","2","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(75-90]","2","0","(1-153749.2]","1","4","40"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","39"
"0","0","(15-30]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","2","7","40"
"0","0","(30-45]","1","(7-16671.3333333333]","(1-153749.2]","1","1","44"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"0","0","(15-30]","1","0","(1-153749.2]","1","7","43"
"0","0","(15-30]","1","0","(1-153749.2]","1","7","33"
"0","0","(15-30]","1","0","(1-153749.2]","1","1","39"
"0","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","5","42"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","4","1","40"
"(1-33333]","(1-23917]","(30-45]","2","0","(1-153749.2]","1","3","40"
"0","0","(45-60]","1","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","35"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","7","44"
"0","0","(30-45]","1","0","(1-153749.2]","1","6","39"
"(1-33333]","0","(30-45]","1","0","(153749.2-307497.4]","1","1","43"
"(1-33333]","0","(30-45]","2","0","(153749.2-307497.4]","1","5","44"
"0","0","(30-45]","2","0","(1-153749.2]","1","7","43"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","33"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","1","7","35"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","1","41"
"0","0","(15-30]","2","0","(1-153749.2]","2","7","35"
"(1-33333]","(1-23917]","(30-45]","2","0","(1-153749.2]","1","5","40"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","46"
"0","0","(45-60]","2","0","(1-153749.2]","1","4","40"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","40"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","5","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","7","40"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"0","0","(30-45]","2","0","(1-153749.2]","1","7","40"
"0","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","2","4","43"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"0","0","(15-30]","1","0","(1-153749.2]","1","7","39"
"0","0","(45-60]","1","0","(1-153749.2]","1","1","41"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","2","1","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","5","41"
"0","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","7","43"
"0","0","(45-60]","1","0","(1-153749.2]","1","7","40"
"(1-33333]","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","4","34"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","2","1","43"
"(1-33333]","0","(60-75]","2","0","(1-153749.2]","1","4","39"
"(1-33333]","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","2","4","39"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","1","36"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","45"
"(1-33333]","0","(45-60]","1","0","(153749.2-307497.4]","2","4","44"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","44"
"0","0","(30-45]","2","0","(1-153749.2]","1","5","41"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","5","43"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","4","42"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","1","5","40"
"0","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"(1-33333]","0","(60-75]","2","0","(1-153749.2]","1","4","39"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","45"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","44"
"0","0","(15-30]","2","0","(1-153749.2]","1","7","40"
"(1-33333]","0","(60-75]","1","0","(307497.4-461245.6]","1","1","45"
"0","0","(15-30]","1","0","(1-153749.2]","1","7","39"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","36"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","39"
"0","0","(15-30]","1","0","(1-153749.2]","1","1","42"
"(1-33333]","(1-23917]","(15-30]","2","0","(1-153749.2]","2","7","33"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","4","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","33"
"(1-33333]","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"0","0","(60-75]","2","(7-16671.3333333333]","(1-153749.2]","1","7","37"
"0","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","1","7","43"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","4","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","2","1","40"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","2","7","43"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","4","1","33"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","39"
"0","0","(45-60]","2","0","(1-153749.2]","1","1","35"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","44"
"0","0","(15-30]","2","0","(1-153749.2]","2","7","39"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","5","39"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","2","7","39"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","40"
"(66665-99997]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","32"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","39"
