"age","workclass","fnlwgt","education","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
26,"2",417941,"9","0","0","4","4","0",0,0,40,"38","<=50K"
46,"2",174224,"15","5","5","1","4","1",0,0,40,"38","<=50K"
21,"5",151790,"15","4","0","3","4","0",0,0,20,"38","<=50K"
24,"2",227610,"11","4","0","3","2","0",0,0,35,"38","<=50K"
78,"3",385242,"12","4","3","1","2","1",0,0,35,"38","<=50K"
22,"2",203240,"15","4","7","1","4","0",0,0,40,"38","<=50K"
37,"2",126954,"15","4","6","1","4","1",0,0,40,"38","<=50K"
23,"2",227594,"15","4","7","1","4","0",0,0,12,"38","<=50K"
30,"2",118551,"11","4","11","1","4","0",0,0,40,"38","<=50K"
43,"4",193494,"15","2","2","0","4","1",0,0,45,"38","<=50K"
32,"2",31740,"0","2","9","0","4","1",0,0,40,"38","<=50K"
61,"1",176731,"8","2","3","0","4","1",0,0,45,"38",">50K"
34,"2",27380,"9","2","9","0","4","1",15024,0,40,"38",">50K"
24,"4",174391,"8","4","11","3","4","0",0,0,40,"38","<=50K"
17,"3",143034,"0","4","11","3","2","1",0,0,8,"38","<=50K"
58,"2",215190,"9","2","13","0","4","1",0,0,40,"38",">50K"
64,"2",180247,"0","2","13","0","4","1",0,0,20,"38","<=50K"
55,"1",177163,"12","6","9","1","4","0",0,0,60,"38","<=50K"
28,"2",103389,"15","4","0","3","4","0",0,0,40,"38","<=50K"
56,"2",159724,"11","2","13","0","4","1",0,0,30,"38","<=50K"
19,"2",236940,"11","4","2","3","4","1",0,0,55,"38","<=50K"
40,"2",311534,"11","2","5","0","4","1",0,0,40,"38",">50K"
51,"2",125796,"5","0","6","1","4","0",0,0,50,"38","<=50K"
48,"2",93476,"11","0","6","4","2","0",0,0,40,"38","<=50K"
52,"2",74024,"15","0","3","4","4","1",0,0,45,"38","<=50K"
37,"2",160120,"15","0","6","4","2","1",0,0,50,"38","<=50K"
44,"2",225879,"15","2","11","5","4","0",0,0,40,"38",">50K"
40,"2",198452,"0","2","3","0","4","1",0,0,40,"38",">50K"
50,"2",107265,"15","2","3","0","4","1",0,0,45,"38",">50K"
38,"2",103925,"15","2","0","5","4","0",0,0,40,"38","<=50K"
49,"3",197038,"11","2","3","0","4","1",0,0,40,"38",">50K"
28,"2",496526,"15","0","11","4","4","0",0,0,40,"38","<=50K"
48,"4",187454,"11","2","4","0","4","1",0,0,40,"38","<=50K"
28,"1",336543,"11","4","4","3","4","1",0,0,40,"38","<=50K"
21,"2",286824,"11","4","2","1","4","1",594,0,40,"38","<=50K"
62,"3",209433,"9","2","11","0","4","1",0,0,50,"38",">50K"
50,"1",226497,"8","2","10","0","4","1",0,0,40,"38",">50K"
37,"2",252947,"11","5","2","1","4","1",0,0,40,"38","<=50K"
32,"2",155232,"11","2","2","0","4","1",0,0,40,"38","<=50K"
90,"4",155981,"9","2","9","0","4","1",0,2392,50,"38",">50K"
44,"2",202565,"15","2","9","0","4","1",0,0,45,"38",">50K"
21,"2",155066,"11","2","7","0","4","1",0,0,40,"38","<=50K"
63,"4",231777,"11","2","11","0","4","1",0,0,40,"38","<=50K"
47,"2",34248,"11","2","2","0","4","1",0,0,46,"38","<=50K"
51,"2",233149,"12","2","3","0","4","1",0,0,43,"38",">50K"
49,"2",171301,"8","0","9","4","4","0",0,0,40,"38","<=50K"
38,"1",172855,"15","4","10","1","4","0",0,0,40,"38","<=50K"
22,"2",180060,"9","4","7","3","4","1",0,0,20,"38","<=50K"
20,"2",176321,"2","2","11","5","4","0",0,0,35,"38","<=50K"
23,"2",137214,"11","4","2","3","4","1",0,0,40,"38","<=50K"
27,"2",132686,"9","4","12","3","1","1",0,0,40,"36","<=50K"
43,"1",598995,"11","5","0","4","2","0",0,0,40,"38","<=50K"
24,"2",134787,"9","4","0","3","4","0",0,0,40,"38","<=50K"
29,"4",250499,"1","2","7","5","4","0",0,0,35,"38","<=50K"
49,"2",160187,"9","2","3","5","4","0",15024,0,10,"38",">50K"
42,"2",169383,"11","2","2","0","4","1",0,0,40,"38","<=50K"
19,"2",256979,"11","4","11","3","2","1",0,0,25,"38","<=50K"
47,"4",174533,"11","2","2","0","4","1",0,0,90,"38",">50K"
31,"2",147654,"11","4","9","1","4","1",0,0,35,"20","<=50K"
61,"1",260167,"11","6","3","1","4","0",0,0,45,"38","<=50K"
50,"4",176867,"14","2","9","0","4","1",0,0,50,"1",">50K"
49,"2",215389,"9","2","9","0","4","1",0,0,40,"38",">50K"
40,"2",408229,"11","2","13","0","4","1",0,1628,30,"38","<=50K"
32,"0",145983,"15","4","7","3","4","0",0,0,45,"38","<=50K"
42,"5",293791,"12","2","9","0","4","1",0,0,40,"38",">50K"
63,"1",214143,"9","6","9","1","4","0",0,0,38,"38","<=50K"
32,"2",156015,"15","4","2","3","4","1",0,0,40,"38","<=50K"
65,"3",325089,"11","2","11","0","4","1",0,0,16,"38",">50K"
27,"2",180553,"15","4","0","1","4","0",0,0,37,"38","<=50K"
65,"2",190568,"15","6","0","1","4","0",0,0,40,"38","<=50K"
46,"2",56841,"9","2","11","0","4","1",0,0,40,"38","<=50K"
69,"2",185691,"2","0","7","1","3","1",0,0,20,"38","<=50K"
55,"2",90414,"2","2","11","5","4","0",0,0,44,"38","<=50K"
37,"2",93717,"15","4","0","2","4","0",2174,0,42,"38","<=50K"
35,"2",78247,"1","2","13","0","4","1",0,0,55,"38","<=50K"
33,"2",155198,"14","2","9","0","4","1",0,0,40,"38",">50K"
46,"2",110151,"15","0","3","4","2","0",0,0,40,"38","<=50K"
50,"2",190762,"3","2","6","0","4","1",0,0,40,"25","<=50K"
38,"2",407068,"1","2","2","0","4","1",0,0,50,"38","<=50K"
35,"2",48123,"11","0","0","4","4","0",0,0,40,"38","<=50K"
44,"2",147206,"15","5","5","1","4","1",0,0,40,"38","<=50K"
30,"2",46712,"11","4","0","1","4","0",0,0,40,"38","<=50K"
33,"2",222221,"0","0","11","3","4","1",0,0,40,"38",">50K"
33,"2",96245,"7","2","2","0","4","1",0,0,40,"38","<=50K"
52,"2",137658,"14","0","9","1","4","1",0,0,40,"38","<=50K"
59,"4",128105,"15","2","11","0","4","1",0,0,45,"38","<=50K"
42,"2",115178,"15","0","3","3","4","0",0,0,19,"10","<=50K"
24,"5",38151,"9","4","9","1","4","1",4865,0,20,"38","<=50K"
60,"4",96073,"11","2","11","0","4","1",0,0,70,"38","<=50K"
40,"2",225978,"15","5","3","1","4","1",0,0,40,"38","<=50K"
46,"4",28281,"14","2","9","0","4","1",0,1977,38,"8",">50K"
24,"2",461678,"11","4","11","3","4","1",0,0,40,"38","<=50K"
30,"2",316606,"11","4","6","2","4","0",0,0,40,"38","<=50K"
52,"2",128272,"11","2","11","0","4","1",0,0,40,"38","<=50K"
29,"2",109814,"9","4","9","1","4","1",0,0,45,"38","<=50K"
44,"4",234885,"11","2","11","5","4","0",0,0,40,"38","<=50K"
59,"1",50929,"9","0","10","1","2","1",0,0,40,"38","<=50K"
31,"2",191276,"11","4","7","3","4","0",0,0,30,"25","<=50K"
44,"2",286750,"9","2","3","0","4","1",0,1485,60,"38","<=50K"
47,"4",177457,"11","2","11","0","4","1",0,0,50,"38","<=50K"
41,"1",90692,"15","0","0","4","4","0",0,0,40,"38","<=50K"
27,"2",419146,"9","4","9","1","4","1",0,0,50,"38","<=50K"
31,"2",62932,"11","4","13","2","2","1",0,0,40,"38","<=50K"
22,"2",219042,"1","4","2","3","4","1",0,0,65,"38","<=50K"
44,"4",230684,"11","2","3","0","4","1",0,0,45,"38","<=50K"
42,"2",108506,"15","2","2","0","4","1",0,0,40,"38","<=50K"
72,"2",205343,"12","4","9","1","4","0",0,0,40,"38",">50K"
52,"2",194580,"2","2","2","0","4","1",0,0,38,"38","<=50K"
27,"2",81540,"11","4","6","2","4","1",0,0,40,"38",">50K"
23,"4",191283,"9","4","12","1","4","0",0,0,40,"38","<=50K"
34,"2",85374,"15","0","2","1","4","1",0,0,48,"38","<=50K"
38,"2",91039,"12","2","9","0","4","1",0,0,55,"38",">50K"
36,"2",190350,"11","0","6","4","4","0",0,0,40,"38","<=50K"
43,"0",175669,"12","2","3","5","4","0",0,0,37,"38","<=50K"
31,"3",455995,"9","2","3","0","4","1",0,0,35,"38",">50K"
25,"2",190628,"15","4","7","3","4","1",0,0,38,"38","<=50K"
75,"5",117017,"15","6","13","1","4","1",0,0,35,"38","<=50K"
22,"2",160120,"11","4","11","4","1","1",0,0,30,"34","<=50K"
39,"2",225504,"11","2","5","0","4","1",0,0,44,"38","<=50K"
26,"2",238367,"11","2","3","0","4","1",3942,0,50,"38","<=50K"
34,"4",56964,"9","0","3","1","4","1",0,0,40,"1","<=50K"
26,"2",380674,"1","2","12","0","4","1",0,2042,60,"38","<=50K"
47,"2",386136,"11","2","13","0","4","1",0,1902,40,"38",">50K"
42,"5",455553,"1","0","7","1","4","0",0,0,40,"38","<=50K"
35,"2",174503,"15","4","12","1","2","0",2174,0,40,"38","<=50K"
43,"2",158528,"9","2","9","0","4","1",0,1848,40,"38",">50K"
23,"2",49296,"9","4","9","1","4","1",2907,0,40,"38","<=50K"
47,"4",236111,"14","2","9","0","4","1",15024,0,35,"38",">50K"
22,"2",401690,"15","4","0","3","4","0",0,0,40,"38","<=50K"
29,"2",192384,"11","4","2","3","4","1",0,0,40,"19","<=50K"
40,"2",198452,"15","4","2","3","4","1",0,0,8,"38","<=50K"
50,"1",177705,"15","5","13","1","4","1",0,0,40,"38","<=50K"
41,"1",81054,"15","2","3","5","2","0",0,0,40,"38","<=50K"
33,"2",136331,"11","2","2","0","4","1",0,0,40,"3","<=50K"
27,"2",376150,"15","2","0","5","4","0",0,0,40,"38",">50K"
23,"1",496382,"9","4","9","1","4","0",0,0,30,"38","<=50K"
35,"2",217274,"11","2","0","0","4","1",0,0,40,"38","<=50K"
23,"2",103277,"15","4","11","3","1","0",0,0,40,"29","<=50K"
53,"2",106176,"1","2","6","0","4","1",0,0,40,"38","<=50K"
61,"2",183355,"15","2","0","0","4","1",0,0,50,"38","<=50K"
42,"2",204450,"9","2","9","0","4","1",0,0,55,"38",">50K"
60,"2",159049,"15","2","2","0","4","1",0,0,40,"38","<=50K"
22,"2",136824,"9","4","7","3","4","1",0,0,20,"38","<=50K"
50,"2",138852,"15","2","2","0","4","1",7688,0,40,"38",">50K"
46,"5",353012,"11","3","5","4","4","1",3674,0,40,"12","<=50K"
49,"4",175622,"11","2","11","0","4","1",0,1902,75,"38",">50K"
48,"3",38240,"9","2","3","0","4","1",0,0,38,"38",">50K"
21,"2",216129,"1","4","2","1","4","1",0,0,40,"38","<=50K"
22,"2",355686,"11","4","7","3","4","0",0,0,40,"38","<=50K"
18,"2",243313,"1","4","9","3","4","0",0,0,15,"10","<=50K"
44,"2",178385,"7","4","5","1","4","1",0,0,30,"38","<=50K"
45,"2",137604,"5","4","13","4","4","1",0,0,35,"38","<=50K"
32,"2",252257,"15","4","0","1","4","0",0,0,40,"38","<=50K"
53,"4",217210,"11","2","11","5","4","0",0,0,30,"38",">50K"
34,"2",97355,"8","0","11","1","4","0",0,0,40,"38","<=50K"
31,"2",236391,"15","4","0","1","4","0",0,0,40,"38","<=50K"
48,"2",240231,"11","0","6","1","2","1",0,0,40,"38","<=50K"
34,"2",169527,"11","2","0","5","4","0",0,0,20,"38","<=50K"
46,"2",108699,"15","2","0","5","2","0",0,0,48,"38","<=50K"
23,"3",214542,"9","4","0","1","4","0",0,0,23,"38","<=50K"
21,"5",39236,"11","4","3","3","4","0",0,0,20,"38","<=50K"
53,"3",246562,"12","2","3","0","4","1",15024,0,60,"38",">50K"
46,"2",224202,"11","0","2","2","4","1",0,0,40,"38","<=50K"
34,"2",56150,"9","4","11","1","4","1",0,0,45,"38","<=50K"
54,"2",222020,"2","5","0","3","2","1",914,0,35,"38","<=50K"
61,"2",226297,"0","0","7","1","4","1",0,0,40,"38","<=50K"
26,"2",133373,"11","0","2","4","2","1",0,0,40,"38","<=50K"
48,"5",85384,"10","2","9","0","4","1",0,0,40,"38","<=50K"
21,"2",452640,"11","4","11","3","4","1",0,0,40,"38","<=50K"
47,"2",583755,"11","2","13","0","2","1",0,0,40,"38",">50K"
20,"2",140001,"15","4","0","3","4","1",0,0,40,"38","<=50K"
56,"2",147653,"11","0","7","4","4","0",0,0,40,"22","<=50K"
22,"1",238831,"11","4","7","3","4","1",0,0,40,"38","<=50K"
27,"2",221436,"11","4","13","1","4","0",0,0,45,"38","<=50K"
28,"2",77760,"11","2","11","0","4","1",0,0,60,"38",">50K"
40,"2",163985,"11","2","11","0","4","1",0,0,50,"38","<=50K"
17,"3",174120,"0","4","7","3","4","0",0,0,20,"38","<=50K"
70,"2",121993,"4","6","6","1","4","0",0,2206,75,"21","<=50K"
39,"2",352248,"1","2","2","0","4","1",0,0,50,"38","<=50K"
38,"2",224566,"4","2","2","0","4","1",0,0,60,"25","<=50K"
27,"2",29261,"8","2","6","0","4","1",0,0,40,"38","<=50K"
17,"2",198606,"1","4","0","3","4","0",0,0,12,"38","<=50K"
39,"5",239409,"11","5","10","1","2","1",0,0,40,"38","<=50K"
39,"2",269455,"15","2","3","0","2","1",0,0,60,"38",">50K"
32,"2",79870,"7","0","0","1","4","0",0,0,28,"38","<=50K"
70,"2",216390,"6","6","11","4","4","0",0,0,16,"38","<=50K"
49,"2",224393,"4","2","6","0","4","1",0,0,40,"25","<=50K"
20,"2",282579,"15","4","7","3","4","1",0,0,40,"38","<=50K"
63,"2",440607,"15","2","3","0","4","1",0,0,50,"38","<=50K"
33,"1",55921,"9","2","9","0","2","1",0,0,48,"38","<=50K"
29,"2",173652,"11","4","0","3","4","0",0,0,40,"38","<=50K"
40,"4",125206,"11","2","2","0","4","1",0,0,40,"38","<=50K"
24,"2",73928,"9","4","7","3","4","0",0,0,40,"38","<=50K"
40,"2",247245,"9","4","9","3","4","0",0,0,15,"38","<=50K"
31,"2",63437,"9","2","9","0","4","1",0,0,66,"38","<=50K"
42,"2",152676,"11","2","11","0","4","1",0,0,40,"38","<=50K"
45,"5",32186,"15","0","0","4","4","0",0,0,40,"38","<=50K"
46,"2",28334,"14","2","9","0","4","1",15024,0,45,"38",">50K"
50,"1",117791,"9","0","9","4","4","0",0,0,40,"38","<=50K"
49,"2",177211,"9","2","7","0","4","1",0,0,48,"38","<=50K"
47,"2",155509,"11","5","2","4","2","0",0,0,40,"38","<=50K"
37,"2",163199,"8","4","12","1","4","0",0,155,40,"38","<=50K"
30,"2",207668,"9","0","3","1","4","1",0,0,50,"38","<=50K"
58,"0",319733,"9","2","11","0","4","1",15024,0,40,"38",">50K"
36,"2",62346,"9","2","11","0","4","1",0,0,42,"38",">50K"
44,"2",145441,"10","4","9","2","4","1",0,0,40,"38",">50K"
49,"2",149210,"11","2","13","0","2","1",0,0,40,"38","<=50K"
17,"2",65368,"1","4","3","3","4","0",0,0,50,"38","<=50K"
39,"4",124090,"14","2","9","0","4","1",0,1977,50,"38",">50K"
34,"4",190290,"11","0","11","1","4","1",0,0,50,"38","<=50K"
29,"2",56630,"8","2","0","0","4","1",0,0,40,"38","<=50K"
35,"2",334999,"15","2","11","0","4","1",0,0,40,"38","<=50K"
50,"1",425804,"11","2","0","5","4","0",0,0,40,"9","<=50K"
29,"2",174163,"15","4","7","3","4","0",0,0,50,"38","<=50K"
33,"2",112115,"11","2","6","0","4","1",0,0,40,"38",">50K"
33,"2",108328,"13","4","7","1","2","0",0,0,40,"38","<=50K"
48,"4",191389,"15","0","11","4","4","0",0,0,45,"38",">50K"
20,"2",34706,"11","4","4","3","4","1",0,0,40,"38","<=50K"
43,"1",36924,"15","4","3","1","2","1",0,0,40,"38","<=50K"
34,"2",160449,"9","2","3","0","4","1",0,0,50,"9",">50K"
66,"2",192504,"15","2","11","0","4","1",0,1648,20,"38","<=50K"
57,"2",47857,"8","2","13","0","4","1",0,0,40,"38",">50K"
25,"2",258276,"4","2","4","0","1","1",0,0,40,"29","<=50K"
54,"2",142169,"11","2","2","0","4","1",0,0,40,"38",">50K"
37,"2",160035,"15","2","12","0","4","1",0,2603,50,"38",">50K"
67,"2",318533,"11","2","0","0","4","1",2414,0,40,"38","<=50K"
51,"5",341548,"10","2","9","5","4","0",0,0,40,"38",">50K"
73,"2",77884,"11","2","11","0","1","1",3471,0,12,"39","<=50K"
31,"2",49923,"15","4","7","1","4","1",0,0,40,"38","<=50K"
50,"2",196232,"7","2","13","0","4","1",3103,0,99,"38",">50K"
51,"2",204447,"15","4","12","1","4","1",0,0,40,"38","<=50K"
37,"0",29054,"15","2","0","0","4","1",0,0,42,"38",">50K"
35,"2",30529,"9","2","11","0","4","1",0,0,45,"38",">50K"
55,"4",147098,"15","2","2","0","4","1",0,0,55,"38","<=50K"
36,"2",102945,"11","0","2","4","4","1",0,0,50,"34","<=50K"
39,"0",103984,"11","2","0","5","4","0",0,0,40,"38",">50K"
50,"4",183915,"9","2","2","0","4","1",0,0,45,"1","<=50K"
57,"2",32365,"11","5","13","1","4","1",2597,0,36,"38","<=50K"
34,"2",137088,"9","2","2","0","2","1",0,0,40,"38",">50K"
66,"2",101607,"14","2","9","0","4","1",15024,0,72,"38",">50K"
21,"2",218957,"15","4","11","3","4","1",0,0,35,"38","<=50K"
20,"2",309580,"3","4","0","4","4","1",0,0,40,"25","<=50K"
59,"1",181242,"15","2","3","0","2","1",0,0,40,"38",">50K"
26,"2",88449,"15","2","3","0","4","1",0,0,75,"38","<=50K"
45,"4",111679,"14","0","9","4","4","1",0,0,60,"38",">50K"
48,"2",202467,"9","0","5","1","2","1",0,0,35,"38","<=50K"
41,"2",66118,"15","0","0","1","4","0",0,0,32,"38","<=50K"
34,"2",188736,"9","4","9","1","4","0",0,0,40,"38","<=50K"
18,"2",187770,"1","4","5","3","4","1",0,0,20,"38","<=50K"
34,"5",156292,"8","4","9","1","4","1",0,0,20,"38","<=50K"
44,"2",183342,"7","2","6","0","4","1",0,0,40,"38","<=50K"
51,"2",129177,"11","2","3","5","4","0",0,0,35,"38","<=50K"
48,"2",28497,"9","2","3","0","4","1",15024,0,50,"38",">50K"
39,"4",140752,"8","2","4","0","4","1",0,0,80,"38","<=50K"
34,"2",269723,"9","4","3","1","4","0",0,0,40,"38","<=50K"
17,"2",193748,"1","4","2","3","4","1",0,0,20,"38","<=50K"
45,"2",201127,"8","2","9","0","4","1",0,0,40,"38",">50K"
43,"2",972354,"11","5","13","1","4","1",0,0,40,"38","<=50K"
65,"2",212562,"8","2","0","0","2","1",0,0,20,"38","<=50K"
46,"4",320421,"14","2","9","0","4","1",0,2415,80,"38",">50K"
48,"2",192791,"9","0","11","4","4","1",0,0,40,"38",">50K"
42,"2",191765,"11","4","11","1","4","0",0,0,40,"38","<=50K"
55,"2",226875,"0","2","2","0","4","1",0,0,41,"38","<=50K"
19,"2",607799,"11","4","11","2","4","0",0,0,60,"38","<=50K"
36,"2",275653,"0","0","7","3","2","0",0,0,40,"38","<=50K"
33,"2",198003,"11","2","13","0","4","1",0,0,40,"38","<=50K"
53,"2",200576,"9","0","11","1","4","0",0,0,48,"38","<=50K"
36,"2",145576,"11","0","13","1","2","1",0,0,36,"38","<=50K"
58,"2",201112,"12","0","9","1","4","0",0,0,40,"38","<=50K"
65,"2",169047,"11","2","10","0","4","1",0,0,45,"38","<=50K"
42,"1",195124,"12","2","3","0","4","1",0,0,60,"38",">50K"
45,"2",155659,"9","2","11","0","4","1",0,0,50,"38",">50K"
29,"1",195520,"12","2","9","0","4","1",0,0,45,"38","<=50K"
23,"2",208908,"9","4","0","3","4","0",0,0,40,"38","<=50K"
59,"4",325732,"11","2","11","0","4","1",0,1740,40,"38","<=50K"
33,"2",93206,"5","0","13","1","4","1",0,0,40,"38","<=50K"
43,"2",388849,"15","0","6","1","2","1",0,0,40,"38","<=50K"
51,"5",94174,"15","0","0","4","4","0",0,0,40,"38","<=50K"
26,"2",109570,"11","4","11","4","2","0",0,0,30,"38","<=50K"
44,"2",201599,"15","2","7","5","4","0",0,0,44,"30","<=50K"
27,"2",180262,"12","4","9","1","4","0",0,0,40,"38","<=50K"
22,"2",139190,"11","4","2","3","4","1",0,0,40,"38","<=50K"
31,"2",452405,"1","5","7","4","2","0",0,0,40,"38","<=50K"
64,"2",110150,"15","2","0","0","4","1",0,0,20,"38","<=50K"
27,"5",23740,"9","4","9","4","4","1",0,0,15,"38","<=50K"
27,"2",163942,"9","4","12","1","4","1",0,0,40,"38","<=50K"
24,"2",381895,"15","0","11","3","4","0",0,0,40,"38","<=50K"
45,"5",102308,"10","2","9","0","4","1",0,1902,45,"38",">50K"
17,"2",175024,"2","4","11","3","4","1",0,0,13,"38","<=50K"
47,"2",106544,"11","3","9","4","4","0",0,0,40,"38","<=50K"
50,"2",145333,"9","2","3","0","4","1",0,0,40,"38",">50K"
31,"2",62374,"15","2","13","0","4","1",0,1672,40,"38","<=50K"
62,"0",28291,"9","2","3","5","4","0",0,0,45,"38",">50K"
21,"1",325493,"6","4","7","4","4","1",0,0,40,"38","<=50K"
19,"2",163578,"15","4","7","3","4","1",0,0,20,"38","<=50K"
40,"2",220977,"7","2","6","0","4","1",0,0,45,"8","<=50K"
34,"2",113838,"8","0","11","1","4","1",4650,0,40,"38","<=50K"
23,"2",129042,"9","4","0","3","4","0",0,0,40,"38","<=50K"
45,"4",210364,"11","2","4","0","4","1",0,0,84,"38","<=50K"
54,"2",138026,"11","2","6","5","2","0",0,0,40,"38","<=50K"
48,"2",238726,"9","4","3","1","4","0",0,0,40,"38","<=50K"
19,"2",57206,"11","4","11","3","4","0",0,0,40,"38","<=50K"
33,"2",355856,"11","2","2","0","4","1",0,0,40,"38",">50K"
28,"2",209801,"6","4","6","1","4","0",0,0,25,"25","<=50K"
21,"4",409230,"15","4","4","3","4","1",0,0,10,"38","<=50K"
49,"2",87928,"12","2","3","0","4","1",0,0,60,"38",">50K"
83,"3",187097,"9","2","3","0","2","1",0,2392,40,"38",">50K"
61,"2",154600,"8","2","9","5","4","0",0,0,40,"38",">50K"
41,"4",113324,"10","2","9","0","4","1",0,0,40,"5",">50K"
34,"4",123429,"11","4","11","1","4","1",0,0,50,"38","<=50K"
43,"1",198096,"15","0","2","1","4","1",0,0,40,"38","<=50K"
39,"2",164898,"11","2","2","0","4","1",0,0,40,"38","<=50K"
27,"2",205145,"11","2","2","0","4","1",0,0,50,"38","<=50K"
31,"5",124020,"15","2","2","0","4","1",7688,0,50,"38",">50K"
18,"2",94196,"11","4","7","3","4","0",0,0,28,"38","<=50K"
26,"2",122999,"11","2","2","0","4","1",0,0,40,"38",">50K"
29,"3",31778,"8","4","3","1","4","1",0,0,60,"38","<=50K"
19,"5",391257,"15","4","7","3","4","0",2036,0,25,"38","<=50K"
23,"2",130905,"15","4","11","3","4","0",0,0,20,"38","<=50K"
22,"2",141698,"11","4","6","3","4","1",0,0,40,"38","<=50K"
38,"4",203836,"1","2","4","0","4","1",0,0,60,"38","<=50K"
54,"2",346014,"11","5","11","4","4","0",0,0,40,"38","<=50K"
51,"2",49017,"11","0","7","1","4","0",0,0,35,"38","<=50K"
35,"2",316141,"9","4","11","4","3","0",0,0,40,"25","<=50K"
22,"2",223019,"15","4","0","3","4","0",0,0,30,"38","<=50K"
30,"2",188403,"11","2","0","0","4","1",0,0,50,"38","<=50K"
56,"4",62539,"15","0","9","1","4","0",0,0,40,"38","<=50K"
61,"2",107438,"15","2","9","0","4","1",0,0,52,"38","<=50K"
34,"2",81223,"9","4","11","1","4","0",0,0,65,"38","<=50K"
25,"2",390316,"9","4","11","1","4","1",0,0,40,"38","<=50K"
34,"2",242361,"1","5","6","2","4","1",0,0,40,"38","<=50K"
19,"2",39026,"11","4","2","3","4","1",0,0,32,"38","<=50K"
31,"1",295589,"0","0","5","3","2","1",0,0,40,"38","<=50K"
64,"1",50442,"11","2","2","0","4","1",0,0,45,"38","<=50K"
19,"2",108147,"15","4","11","3","2","0",0,0,38,"38","<=50K"
44,"2",188436,"9","2","2","0","4","1",0,0,40,"38",">50K"
25,"2",160261,"15","4","6","1","4","1",0,1974,48,"38","<=50K"
51,"5",172281,"10","2","9","0","4","1",0,0,50,"13","<=50K"
78,"3",237294,"15","6","3","4","4","1",0,0,40,"10","<=50K"
28,"2",204074,"12","0","9","1","4","1",0,0,50,"38","<=50K"
54,"2",302146,"1","2","7","5","1","0",0,0,6,"29","<=50K"
23,"2",189924,"7","4","0","3","2","0",0,0,20,"38","<=50K"
20,"2",368852,"15","4","11","3","4","0",0,0,24,"38","<=50K"
42,"4",217826,"9","0","2","1","4","1",0,0,40,"38","<=50K"
31,"2",1033222,"2","4","6","1","4","1",0,0,40,"25","<=50K"
58,"2",242670,"5","4","7","3","4","0",0,0,40,"38","<=50K"
23,"2",118693,"9","4","9","1","4","1",0,0,40,"38","<=50K"
34,"2",137814,"9","2","2","0","4","1",0,0,45,"38",">50K"
19,"2",97261,"15","4","9","3","4","1",0,0,40,"38","<=50K"
