"","tax","income","csp","age","educ","marital","race","sex","ss"
"141",2350,40000,0,41,"44","4","1","2",0
"142",0,10237,0,41,"39","1","1","2",0
"143",1000,116461,0,51,"41","1","1","1",0
"144",1500,64450,0,49,"39","1","1","1",0
"145",1140,33810,0,35,"39","1","1","1",0
"146",1175,42020,0,37,"43","7","2","2",0
"147",440,4680,0,32,"40","7","1","2",0
"148",0,30000,0,36,"40","1","1","2",0
"149",0,9402,0,54,"37","4","1","2",8142
"150",0,6637,0,67,"38","6","1","1",6636
"151",0,21010,0,49,"39","5","1","2",0
"152",0,33488,0,79,"39","4","1","1",0
"154",750,21844,0,39,"35","5","1","1",9318
"155",600,28000,0,62,"39","4","1","2",0
"156",1500,35027,0,53,"39","5","1","2",0
"157",795,21009,0,69,"39","4","1","2",12498
"158",3000,15366,0,73,"44","1","1","1",11280
"159",2094,65221,0,65,"43","1","1","1",14946
"160",1820,185002,0,46,"43","1","1","2",0
"161",2400,25000,0,49,"39","5","1","1",0
"162",3137,114590,0,59,"43","1","1","1",0
"163",1446,28020,0,49,"44","5","1","2",0
"164",0,30650,0,40,"44","7","1","2",0
"165",1800,32000,0,34,"40","7","1","1",0
"166",250,48920,0,44,"42","5","1","1",0
"167",250,212237,0,75,"40","4","1","1",18990
"168",1524,33245,0,71,"40","1","1","2",5346
"169",0,7695,0,24,"40","7","2","2",0
"170",0,10915,0,18,"39","7","2","2",0
"171",662,75868,0,50,"39","5","1","2",0
"172",0,17346,0,75,"40","5","1","1",8946
"173",435,30736,0,74,"39","1","1","1",2130
"174",600,101000,0,40,"43","1","1","2",0
"175",3571,21579,0,84,"39","4","1","2",12546
"176",1310,21280,0,53,"39","5","1","1",0
"177",600,42942,0,66,"39","4","1","2",0
"178",600,16204,0,68,"39","4","1","2",10146
"179",1500,127868,0,70,"38","4","1","1",1649
"180",600,68960,0,30,"43","1","1","1",0
"181",1100,26374,0,73,"40","5","2","2",7758
"182",1400,48000,0,27,"41","1","1","2",0
"183",0,10000,0,18,"39","7","2","2",0
"184",0,62090,0,47,"39","6","1","1",0
"185",0,20020,0,44,"40","5","1","1",0
"186",1600,57350,0,29,"44","7","1","2",0
"187",900,267177,0,53,"41","1","1","2",0
"188",515,118050,0,51,"43","1","1","1",0
"189",444,6575,0,69,"33","4","2","2",6546
"190",0,15600,0,34,"40","7","2","2",9600
"191",0,13000,0,50,"38","6","2","2",0
"192",1313,50000,0,61,"39","1","1","1",0
"193",1400,61698,2400,45,"39","5","1","2",0
"194",0,6144,0,61,"34","7","1","1",0
"195",400,54335,0,70,"38","5","1","1",7800
"196",0,25900,0,29,"44","7","3","1",0
"197",650,68982,0,43,"39","1","1","2",0
"198",268,16457,0,66,"39","7","1","2",0
"200",0,19080,0,40,"37","1","1","1",0
"201",0,19700,0,45,"39","5","2","2",0
"202",800,3521,0,53,"40","1","1","1",733
"203",1000,36716,0,49,"39","5","1","2",0
"204",0,134500,0,53,"39","1","1","1",0
"205",0,12650,0,22,"43","7","4","1",0
"206",0,3640,3360,28,"40","7","2","2",0
"207",0,15000,0,25,"40","7","2","1",0
"208",0,12020,0,42,"45","7","4","2",0
"209",8000,72156,0,71,"40","5","1","1",8946
"210",1200,5742,0,53,"40","3","1","1",0
"211",0,6462,0,77,"40","6","1","2",5226
"212",0,30000,0,50,"39","1","1","1",0
"213",0,74100,0,33,"39","1","1","1",0
"214",0,24168,0,65,"37","1","1","1",10608
"217",200,68475,0,37,"40","1","1","1",0
"218",36,27290,0,55,"39","6","1","1",0
"219",0,43025,0,29,"40","1","2","1",0
"220",0,23500,0,35,"43","1","2","1",0
"221",0,19840,0,35,"44","1","1","1",0
"222",800,62111,0,46,"43","7","1","2",0
"223",67,13200,0,51,"40","3","1","1",0
"224",300,67280,0,32,"39","1","2","2",0
"225",600,21811,0,81,"40","4","1","2",8094
"226",402,40000,0,34,"43","6","1","1",0
"227",0,26000,0,34,"39","7","1","1",0
"229",0,45000,0,30,"43","7","1","1",0
"230",4276,27200,0,89,"46","1","1","1",0
"232",0,81850,0,50,"43","1","1","1",0
"233",2000,23443,0,73,"32","1","1","1",11106
"234",0,33500,0,24,"39","7","1","2",0
"235",2300,50200,0,49,"43","1","1","1",0
"236",0,46442,0,34,"43","7","1","2",0
"237",6660,99950,0,29,"46","7","1","1",0
"238",0,22000,0,55,"38","5","1","1",0
"239",3600,85200,0,39,"41","5","1","2",8658
"240",3600,82156,0,35,"40","1","1","1",0
"241",0,31500,0,35,"39","7","1","2",0
"242",0,12990,0,72,"34","4","1","2",8790
"243",1265,15050,0,27,"44","7","1","1",0
"244",265,12500,0,59,"39","5","1","2",0
"245",2000,90532,0,46,"40","1","1","1",0
"246",0,20020,0,30,"39","5","1","1",0
"247",0,54036,0,27,"41","1","1","2",0
"248",0,18940,0,62,"35","1","2","1",10200
"249",1000,72011,0,46,"41","1","1","2",0
"250",3500,82248,0,45,"43","1","1","1",0
"251",2570,180670,0,77,"46","1","1","1",16146
"252",0,44500,0,64,"39","7","1","1",0
"253",0,10400,0,21,"42","7","1","1",0
"254",0,8747,0,82,"43","7","1","2",7770
"255",0,69262,0,42,"40","7","1","2",0
"256",0,11466,0,85,"34","4","2","2",5466
"257",0,100300,0,31,"40","7","1","2",0
"258",2000,7834,0,77,"39","4","1","2",7746
"259",0,8040,600,31,"40","5","1","2",0
"260",0,15000,0,37,"40","7","1","2",0
"261",1653,35397,0,77,"39","4","1","2",12546
"262",5000,12366,0,70,"40","4","1","2",7746
"263",4200,17292,0,65,"43","1","1","2",5946
"264",6000,26946,0,71,"39","1","1","1",8706
"265",5000,33132,0,64,"39","1","1","2",5946
"266",0,2016,0,24,"36","7","2","2",0
"267",0,41000,0,24,"39","7","1","2",0
"268",2100,132650,0,44,"42","1","1","2",0
"269",1,152000,0,54,"44","1","1","1",0
"270",1000,244625,0,57,"43","1","1","2",0
"272",1843,72353,0,55,"39","1","2","1",0
"273",0,7830,0,71,"34","7","1","2",4806
"274",0,14160,0,90,"39","4","1","2",6546
"275",6200,151781,0,48,"44","1","1","2",0
"276",930,13385,0,81,"36","4","1","2",11316
"277",0,6024,0,56,"39","4","1","2",0
"278",0,11706,0,68,"40","4","1","2",9570
"279",378,103648,0,33,"43","1","1","1",0
"280",1600,26292,0,68,"40","1","1","1",6546
"281",0,6000,0,47,"38","6","2","2",0
"282",115,17362,0,74,"40","1","1","1",11238
"283",0,32060,0,76,"43","1","1","1",17568
"284",4600,81495,0,51,"39","5","1","2",0
"285",3200,42066,0,86,"39","4","1","2",12546
"286",0,22706,0,85,"40","4","1","2",8706
"287",0,60401,0,60,"44","5","2","2",0
"288",1600,60566,0,43,"43","1","2","1",0
"289",3800,52792,0,30,"40","1","1","1",0
"290",0,31552,0,34,"41","5","1","1",0
"292",0,12597,0,68,"39","4","1","1",12546
"293",0,53595,0,28,"43","7","4","1",0
"294",0,55000,0,44,"39","5","1","1",0
"295",0,18012,0,88,"34","4","1","1",10146
"296",0,17076,0,88,"39","4","1","2",8346
"297",1000,175900,0,53,"43","1","1","1",0
"298",0,27500,0,43,"41","5","1","2",0
"299",2842,33722,0,44,"44","7","1","2",0
"300",1000,114798,0,56,"43","5","1","1",0
"301",2200,52010,0,29,"40","1","1","1",0
"302",703,20464,0,67,"35","1","1","1",0
"303",1700,130000,0,39,"39","1","1","2",0
"304",2132,121650,0,34,"43","1","1","2",0
"305",2100,40423,0,57,"36","1","1","1",0
"306",2768,37916,0,69,"39","1","1","1",12300
"307",2217,64700,0,46,"40","5","1","1",0
"308",1200,72709,0,50,"43","1","1","1",0
"309",0,26022,0,62,"39","4","2","2",7956
"310",0,46730,7280,37,"39","5","1","2",0
"311",2230,85910,0,75,"43","5","1","1",13200
"312",1300,29546,0,87,"40","4","1","2",3546
"313",1477,73366,0,52,"40","5","1","1",0
"314",1477,78756,0,43,"40","5","1","1",0
"315",3206,84724,0,49,"43","1","1","1",0
"316",4000,112400,0,35,"44","1","1","2",0
"317",0,58262,0,37,"41","1","1","1",0
"318",2300,95250,0,35,"43","1","1","2",0
"319",328,15304,0,63,"40","1","1","1",13746
"320",0,50000,0,54,"39","6","1","1",0
"321",1792,179179,0,49,"41","1","1","1",0
"322",1912,41000,0,29,"39","7","1","1",0
"323",1500,69785,0,50,"39","5","1","2",0
"324",703,22272,0,85,"38","1","1","1",8946
"325",0,30486,0,64,"44","7","1","2",10668
"326",4000,25009,0,79,"39","4","1","2",11982
"327",1500,15000,0,86,"40","4","1","2",6746
"328",1800,10057,0,77,"34","4","1","2",7626
"329",463,46550,0,40,"39","1","1","1",0
"330",500,6320,0,74,"39","7","1","1",6144
"331",0,54050,0,49,"40","5","1","1",0
"332",0,15595,0,40,"36","5","1","1",0
"333",0,571,0,33,"43","7","4","1",0
"334",2700,116050,0,55,"44","1","1","2",0
"335",1200,82700,0,37,"43","1","1","1",0
"336",1846,20131,0,79,"40","5","1","2",12247
"337",5400,84700,0,41,"44","1","1","1",0
"338",1200,19770,0,44,"39","3","1","2",0
"339",1000,41010,0,46,"40","1","1","2",0
"340",0,31340,0,20,"40","7","1","2",0
"341",2400,71998,0,26,"43","7","1","2",0
"342",1250,63135,0,55,"39","1","1","2",0
"343",3000,31598,0,76,"34","1","1","2",8226
"344",0,22880,0,25,"39","7","1","1",0
"345",1100,39322,0,78,"39","1","1","2",6546
"346",2100,82100,0,28,"43","1","1","1",0
"347",1600,62689,0,55,"40","1","1","1",0
"348",1800,27704,0,54,"39","1","1","2",10158
"349",0,25100,0,46,"43","7","1","2",0
"350",300,29920,23917,53,"40","4","1","2",0
"351",0,28300,0,36,"46","3","4","1",0
"352",2305,111000,0,32,"39","1","1","1",0
"353",2350,236453,0,60,"43","1","1","1",0
"354",2000,232882,0,83,"46","4","1","1",28631
"355",995,34800,0,59,"39","5","1","1",0
"356",2300,18059,0,74,"39","4","1","1",11346
"357",0,127604,0,42,"39","5","1","1",0
"358",253,8052,0,69,"36","1","1","2",2826
"359",0,81312,12000,51,"46","5","1","2",0
"360",348,6413,0,71,"37","4","1","2",5070
"361",1148,31383,0,69,"34","1","1","1",2646
"362",1041,97359,0,44,"42","1","1","2",0
"363",344,23204,0,34,"39","7","1","1",0
"364",0,17000,0,25,"39","7","2","1",0
"365",269,39920,2200,39,"41","5","1","2",0
"366",1500,142849,0,49,"40","1","1","2",0
"367",1213,78470,0,72,"46","1","1","1",18546
"368",800,117316,0,52,"43","1","1","1",0
"369",0,76851,0,22,"39","1","1","2",0
"370",535,30016,0,60,"39","5","1","2",0
"371",3800,92004,0,33,"44","1","1","1",0
"372",300,15406,0,64,"37","5","2","2",6306
"373",0,17136,0,34,"39","1","2","2",0
"374",511,49323,0,48,"37","1","1","1",0
"375",200,42000,0,50,"39","1","1","1",0
"376",93,40026,0,29,"39","6","1","2",0
"377",1100,30895,0,27,"43","1","1","1",0
"378",875,94600,0,52,"43","1","4","1",0
"379",0,7000,0,31,"41","7","2","2",0
"380",81,61408,0,43,"40","1","2","1",0
"381",1310,107662,0,67,"43","5","1","1",0
"382",5000,37502,0,49,"43","5","1","2",0
"383",3500,117078,0,45,"45","1","1","1",0
"384",250,32215,0,58,"41","1","1","1",0
"385",200,20708,0,78,"39","1","1","1",8886
"386",259,19088,0,72,"40","7","1","2",7194
"387",0,29000,0,42,"40","7","1","1",0
"388",0,50181,0,30,"43","1","2","2",0
"389",0,28000,0,39,"39","5","2","2",0
"390",0,45069,0,38,"43","1","1","1",0
"391",617,25000,0,74,"39","1","1","1",0
"392",300,37372,0,74,"39","1","2","1",9786
"393",800,54164,0,85,"43","4","2","2",10506
"394",100,42000,0,28,"39","1","1","1",0
"395",0,14100,0,73,"39","1","1","1",7746
"396",155,7588,0,68,"38","4","1","2",7584
"397",30000,37667,0,75,"39","1","1","1",7746
"398",558,26946,0,44,"42","7","1","2",0
"399",5100,77927,0,64,"44","1","1","1",0
"400",0,14970,0,20,"39","3","1","1",0
"401",120,44500,0,42,"42","5","1","1",0
"402",1400,49635,0,53,"40","5","1","2",0
"403",1400,75200,0,37,"43","1","1","2",0
"404",0,33075,2750,32,"40","7","1","2",0
"405",0,41500,0,29,"43","1","1","1",0
"406",2000,61831,0,38,"44","1","1","1",0
"408",1200,18292,0,76,"39","1","1","1",12346
"409",0,33000,0,39,"40","5","1","2",0
"410",1200,51840,0,28,"39","1","1","2",0
"411",0,16600,0,29,"39","1","1","2",0
"412",132,60644,0,43,"39","5","2","1",0
"414",2000,4301,0,69,"36","1","1","1",0
"415",364,50000,0,41,"43","6","1","2",0
"416",772,22800,0,28,"39","1","1","2",0
"417",800,82000,0,45,"43","1","1","1",0
"418",5100,97129,0,57,"44","1","1","1",0
"419",0,5201,0,46,"32","4","1","2",0
"420",79,18632,0,71,"43","1","1","1",10386
"421",540,35000,0,39,"39","5","1","1",0
"422",0,38050,0,27,"45","7","1","1",0
"423",0,101999,0,46,"44","6","1","1",0
"424",0,45000,0,28,"44","7","1","2",0
"425",700,51852,0,73,"40","4","1","2",10026
"426",75,26110,0,48,"37","1","1","2",0
"427",800,8691,0,77,"32","4","1","2",8640
"428",2,94890,0,58,"43","1","1","1",0
"429",360,7871,0,80,"39","4","1","2",4626
"430",500,63005,0,43,"43","5","1","1",0
"431",400,22756,0,74,"34","1","1","2",4146
"432",0,18560,0,35,"41","1","1","2",0
"433",800,31030,0,32,"39","7","1","2",0
"434",500,45354,0,67,"39","1","1","1",0
"435",209,6384,0,55,"43","5","1","2",0
"436",1500,43182,0,73,"40","1","1","1",11550
"437",0,41000,0,52,"40","6","2","2",0
"438",1700,231908,0,55,"44","7","1","2",0
"439",0,43000,0,30,"44","7","1","2",0
"440",2100,24407,0,52,"44","1","1","2",0
"441",0,97300,0,54,"43","7","1","1",0
"442",22,6930,0,73,"37","5","1","2",4638
"443",384,32246,0,77,"40","4","1","2",11346
"444",1200,113800,0,49,"42","1","1","1",0
"445",500,56800,0,20,"40","7","1","2",0
"446",0,9756,0,56,"39","7","1","1",0
"447",0,48010,0,36,"44","1","1","1",0
"448",3100,221521,0,54,"40","1","1","1",0
"449",700,10000,0,57,"46","5","1","1",0
"450",1400,41623,0,57,"34","1","1","1",0
"451",2400,43540,0,71,"43","5","1","1",10146
"452",192,62677,0,43,"39","5","1","2",0
"453",3000,159123,0,64,"39","1","1","1",0
"454",2600,108000,0,32,"43","1","1","1",0
"455",0,67015,0,26,"40","7","1","2",0
"456",1300,128820,0,71,"39","5","1","2",7470
"457",3500,110059,0,44,"43","1","1","1",0
"458",1200,4500,0,71,"39","1","1","1",1225
"459",1382,3906,0,83,"34","1","1","1",1746
"460",0,3000,0,30,"40","5","1","2",0
"461",3000,92636,0,50,"39","1","1","1",0
"462",0,21230,6500,54,"39","5","1","2",0
"463",0,64100,0,30,"40","1","1","2",0
"464",0,32000,0,48,"42","5","1","2",0
"465",0,68000,0,30,"43","1","1","1",0
"466",12,18000,0,44,"41","7","1","1",0
"467",0,32369,0,80,"40","1","1","1",5586
"468",405,76439,0,58,"44","1","1","1",0
"469",350,23500,0,30,"40","7","2","2",0
"470",800,40200,0,50,"42","7","1","2",0
"471",937,50100,0,49,"45","5","1","1",0
"472",0,14322,0,71,"40","4","2","2",8178
"473",23,11679,0,72,"39","4","2","2",11550
"474",150,49029,0,60,"40","4","2","2",0
"475",394,39799,0,38,"40","5","1","2",0
"476",448,61377,884,52,"40","5","1","2",0
"477",0,16350,0,20,"40","7","2","2",0
"479",0,55548,0,27,"44","7","1","1",0
"480",58,50900,0,35,"38","1","1","1",0
"481",152,124806,0,52,"40","1","1","1",0
"482",58,79000,0,41,"39","1","1","1",0
"483",280,75639,0,44,"41","1","1","1",0
"484",0,34850,0,60,"35","1","1","2",0
"485",0,38700,0,51,"36","1","1","2",0
"486",0,6000,0,28,"39","1","2","2",0
"487",0,13549,0,19,"37","7","2","2",6097
"488",8100,144837,0,69,"45","5","1","1",0
"489",0,10860,1300,50,"34","7","1","2",0
"490",0,15900,0,42,"35","5","2","2",0
"491",0,19516,0,33,"39","7","2","2",0
"492",0,98468,0,36,"44","7","1","2",0
"493",0,50000,0,28,"43","1","4","2",0
"494",0,21470,0,78,"43","7","1","2",13098
"495",216,44718,0,60,"40","1","1","1",0
"496",300,18156,0,70,"39","1","1","1",8946
"497",0,100791,0,46,"39","1","1","2",0
"498",886,46013,0,45,"40","1","1","1",0
"499",0,5640,0,48,"38","7","1","1",0
"500",0,27338,0,25,"42","7","1","1",0
"502",0,15031,0,25,"43","7","1","1",0
"503",0,26000,0,36,"39","7","1","2",0
"504",1318,276418,0,37,"40","1","1","1",0
"505",0,26000,0,44,"39","7","2","2",0
"506",0,8664,0,39,"39","7","1","2",0
"507",4200,29900,0,43,"40","7","2","2",0
"508",640,64500,0,27,"43","1","1","1",0
"509",1600,14760,0,52,"39","7","1","1",0
"510",1200,36192,0,37,"46","7","1","2",0
"511",1605,12084,0,75,"40","5","1","1",5694
"513",9000,32750,0,18,"40","7","1","2",0
"514",0,18573,0,62,"39","5","2","2",6573
"515",0,20000,0,20,"39","7","2","1",0
"516",0,8399,0,90,"39","4","1","2",7447
"517",780,20516,0,90,"35","1","1","1",13424
"518",0,132000,0,35,"44","3","1","1",0
"519",0,53276,0,26,"42","7","1","1",0
"520",0,63024,0,39,"43","7","1","2",0
"521",3000,207769,0,52,"43","1","1","1",0
"522",330,43120,0,45,"39","1","1","1",0
"523",450,95862,0,47,"40","1","1","1",0
"524",600,12079,0,73,"38","1","1","1",7200
"525",500,92736,0,48,"42","1","1","1",0
"526",1300,88281,0,36,"39","1","1","1",0
"527",800,30392,0,30,"43","5","1","2",0
"528",8000,190432,0,52,"44","1","2","1",0
"529",3000,84200,0,39,"40","5","1","1",0
"530",1200,79100,0,28,"43","1","1","2",0
"531",0,35042,0,74,"40","1","1","1",6546
"532",0,60777,0,45,"43","7","1","2",0
"533",1100,35106,0,67,"39","1","1","1",12546
"534",1300,82842,0,54,"39","1","1","1",0
"536",0,22452,0,33,"37","7","1","1",0
"537",400,39000,0,48,"39","5","1","1",0
"538",0,8400,0,62,"42","5","1","1",0
"539",0,35293,0,40,"40","7","1","2",0
"540",0,19000,0,59,"40","5","1","2",0
"541",2211,88333,0,40,"40","1","1","1",0
"542",4000,102561,0,41,"46","1","1","1",0
"543",1500,158424,0,51,"39","1","1","2",0
"544",370,81242,0,84,"41","4","1","2",13242
"545",0,33025,525,31,"39","6","1","2",0
"546",0,102530,0,36,"42","1","1","1",0
"547",0,36428,2160,38,"39","5","1","2",0
"548",3100,91302,0,47,"39","1","1","1",0
"549",3000,47360,0,32,"39","1","1","2",0
"550",1128,34632,0,73,"34","1","1","1",11132
"551",0,34970,0,49,"39","5","1","2",0
"552",1000,3564,0,71,"40","5","1","2",0
"554",140,3660,0,75,"39","1","1","2",0
"555",3000,32580,0,70,"39","1","1","2",11634
"556",600,9276,0,66,"37","5","1","2",7746
"557",1700,47878,0,36,"40","1","1","1",0
"558",1400,22664,0,71,"36","1","1","1",10662
"559",0,12800,0,58,"39","6","1","2",0
"560",0,30575,0,34,"42","7","1","1",0
"561",0,16218,0,70,"36","4","1","2",12498
"562",0,51162,0,39,"39","1","1","1",0
"563",0,6420,0,24,"42","7","1","1",0
"564",0,90000,0,28,"44","5","1","1",0
"565",2100,30100,0,30,"39","7","1","2",0
"566",0,26021,0,47,"40","7","1","1",0
"567",2210,251707,0,48,"45","1","1","2",0
"568",0,15660,0,82,"39","1","1","1",10146
"569",758,58000,0,45,"43","5","1","2",0
"570",356,13292,0,83,"43","4","1","2",6392
"571",0,17251,0,59,"40","5","1","2",0
"572",0,30000,0,24,"39","7","1","1",0
"573",1516,106000,0,34,"44","1","1","1",0
"574",0,72400,0,54,"39","1","1","1",0
"575",0,99030,0,46,"39","1","1","1",0
"576",0,16000,0,41,"41","5","1","2",0
"577",0,18000,0,46,"39","5","1","2",0
"578",852,27192,0,69,"39","1","1","2",3534
"579",0,35000,0,41,"39","5","1","1",0
"580",2129,24613,0,49,"37","1","2","2",0
"581",0,51861,0,15,"34","7","1","1",0
"582",0,33000,0,26,"40","1","1","1",0
"583",0,46190,0,32,"40","1","1","1",0
"584",0,25784,0,27,"43","7","1","2",0
"585",0,34500,0,27,"43","7","1","1",0
"586",1100,35282,0,43,"39","5","1","2",0
"587",1411,52991,0,48,"40","7","1","2",0
"588",700,43154,0,58,"39","1","1","1",0
"589",0,30010,0,53,"39","7","1","2",0
"590",0,28010,0,49,"39","5","1","1",0
"591",1272,47646,0,44,"39","1","1","1",0
"592",397,15104,0,86,"34","4","1","2",8946
"593",0,74000,0,55,"40","7","1","1",0
"594",0,16000,0,71,"39","7","1","1",0
"595",889,53100,0,66,"39","1","1","1",0
"596",215,31000,0,29,"35","7","1","1",0
"598",850,35000,0,36,"39","1","1","2",0
"599",1800,282021,0,53,"46","1","1","1",0
"600",2200,22632,0,72,"42","1","1","1",12546
"601",630,53000,0,50,"39","1","1","1",0
"602",178,32798,0,71,"34","4","2","1",9822
"603",0,1200,0,40,"36","7","2","2",0
"604",0,16800,0,65,"35","1","1","1",10800
"605",0,70037,0,59,"38","6","1","1",0
"606",574,73000,0,54,"39","1","2","1",0
"607",165,10583,0,85,"36","4","1","2",6726
"608",550,19000,0,44,"40","5","1","2",0
"609",778,55560,0,65,"43","1","1","1",0
"610",541,48000,0,50,"39","1","1","2",0
"611",245,10932,0,87,"32","1","2","1",4146
"612",740,45000,0,47,"40","5","1","1",0
